text,intent

"Có thể cho tôi biết lịch hẹn của tôi có được đồng ý không?",booking
"Có thể cho tôi biết lịch hẹn của tôi có được thông qua không?",booking
"Có thể cho tôi biết lịch hẹn của tôi có được xác nhận không?",booking
"Có thể cho tôi biết lịch hẹn của tôi có được xác nhận không?",booking
"Có thể cho tôi biết lịch hẹn của tôi có được xác nhận không?",booking
"Có thể cho tôi biết lịch hẹn của tôi có được xác nhận không?",booking
"Có thể cho tôi biết lịch hẹn của tôi có được xác nhận không?",booking
"Có thể cho tôi biết lịch hẹn của tôi có được xác nhận không?",booking
"Có thể cho tôi biết lịch hẹn của tôi có được xác nhận không?",booking
"Có thể cho tôi biết lịch hẹn của tôi có được xác nhận không?",booking
"Có thể cho tôi biết lịch hẹn của tôi đã được chấp nhận chưa?",booking
"Có thể cho tôi biết lịch hẹn của tôi đã được thông qua không?",booking
"Có thể cho tôi biết lịch hẹn của tôi đã được xác nhận chưa?",booking
"Có thể cho tôi biết lịch hẹn của tôi đã được xác nhận chưa?",booking
"Có thể cho tôi biết lịch hẹn của tôi đã được xác nhận chưa?",booking
"Có thể cho tôi biết lịch hẹn của tôi đã được xác nhận chưa?",booking
"Có thể cho tôi biết lịch hẹn của tôi đã được xác nhận chưa?",booking
"Có thể cho tôi biết lịch hẹn của tôi đã được xác nhận chưa?",booking
"Có thể cho tôi biết lịch hẹn của tôi liệu có được đồng ý không?",booking
"Có thể cho tôi biết lịch hẹn với bác sĩ đã được xác nhận chưa?",booking
"Có thể cho tôi biết liệu lịch hẹn của tôi có đã được xác nhận không?",booking
"Có thể cho tôi biết liệu lịch hẹn của tôi có được xác nhận không?",booking
"Có thể cho tôi biết tình trạng xác nhận của lịch hẹn không?",booking
"Có thể đối chiếu lại lịch hẹn của tôi không?",booking
"Có thể giúp tôi kiểm tra lịch hẹn với bác sĩ không?",booking
"Có thể giúp tôi xác nhận lịch hẹn mà tôi đã đặt không?",booking
"Có thể giúp tôi xác nhận lịch hẹn mà tôi đã đặt không?",booking
"Có thể giúp tôi xác nhận lịch hẹn mà tôi đã lên kế hoạch không?",booking
"Có thể giúp tôi xác nhận lịch hẹn với bác sĩ chuyên khoa không?",booking
"Có thể giúp tôi xác nhận lịch hẹn với bác sĩ không?",booking
"Có thể giúp tôi xác nhận lịch hẹn với bác sĩ không?",booking
"Có thể giúp tôi xác nhận lịch hẹn với bác sĩ không?",booking
"Có thể xác nhận lại lịch hẹn của tôi không?",booking
"Có thể xác nhận lại lịch hẹn mà tôi đã đặt không?",booking
"Có thể xác nhận lại lịch hẹn mà tôi đã đặt không?",booking
